date,f107_now,carrington_rotation,monthly_f107,sma_13_past,slope_12m,volatility_13m,cycle_state_falling,cycle_state_plateau,cycle_state_rising,activity_level_high,activity_level_low,activity_level_medium,volatility_state_high,volatility_state_normal
1947-10-22,213.5,1259.0582,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-23,230.9,1259.0948,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-24,237.1,1259.1315,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-25,237.0,1259.1681,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-26,231.55,1259.20475,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-27,226.1,1259.2414,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-28,213.1,1259.278,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-29,198.5,1259.3146,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-30,198.0,1259.3513,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-31,191.0,1259.3879,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-01,188.0,1259.4245,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-02,170.8,1259.46115,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-03,153.6,1259.4978,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-04,145.1,1259.5344,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-05,146.2,1259.5711,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-06,132.9,1259.6077,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-07,131.6,1259.6443,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-08,132.29999999999998,1259.6809333333333,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-09,133.0,1259.7175666666667,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-10,133.7,1259.7542,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-11,145.1,1259.79085,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-12,156.5,1259.8275,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-13,162.4,1259.8641,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-14,167.9,1259.9007,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-15,187.8,1259.9373,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-16,181.5,1259.97395,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-17,175.2,1260.0106,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-18,184.9,1260.0472,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-19,195.1,1260.0838,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-20,197.1,1260.1204,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-21,208.5,1260.157,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-22,211.6,1260.1936,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-23,216.2,1260.2302,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-24,203.4,1260.2668,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-25,192.7,1260.3034,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-26,187.9,1260.34,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-27,181.9,1260.3767,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-28,190.3,1260.4133,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-29,167.8,1260.4499,208.42741935483872,,,,0,1,0,0,0,1,0,1
1947-11-30,171.65,1260.4865,171.755,,,,0,1,0,0,0,1,0,1
1947-12-01,175.5,1260.5231,171.755,,,,0,1,0,0,0,1,0,1
1947-12-02,143.7,1260.5597,171.755,,,,0,1,0,0,0,1,0,1
1947-12-03,146.7,1260.5963,171.755,,,,0,1,0,0,0,1,0,1
1947-12-04,139.0,1260.6329,171.755,,,,0,1,0,0,0,1,0,1
1947-12-05,169.9,1260.6695,171.755,,,,0,1,0,0,0,1,0,1
1947-12-06,172.8,1260.7061,171.755,,,,0,1,0,0,0,1,0,1
1947-12-07,170.7,1260.7427,171.755,,,,0,1,0,0,0,1,0,1
1947-12-08,159.3,1260.7793,171.755,,,,0,1,0,0,0,1,0,1
1947-12-09,169.0,1260.8159,171.755,,,,0,1,0,0,0,1,0,1
1947-12-10,165.6,1260.8525,171.755,,,,0,1,0,0,0,1,0,1
1947-12-11,170.6,1260.8891,171.755,,,,0,1,0,0,0,1,0,1
1947-12-12,161.7,1260.9257,171.755,,,,0,1,0,0,0,1,0,1
1947-12-13,176.9,1260.9622,171.755,,,,0,1,0,0,0,1,0,1
1947-12-14,174.4,1260.9987999999998,171.755,,,,0,1,0,0,0,1,0,1
